member_id |         full_name         |                  email                  |   phone    | gender | date_of_birth | date_joined |          created_at           |          updated_at           | user_id | age | disabled | orphan | widowed |     nrc      |   guardian_name    | guardian_phone | status | organization_id 
        23 | Irene Chakamba            | irene.chakamba98@example.com            | 971000097  | Female | 1958-07-24    | 2020-08-26  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  68 | f        | f      | f       | 275079/55/98 |                    |                | Active |              56
        24 | Ryan Mwewa                | ryan.mwewa84@example.com                | 971000083  | Male   | 1965-01-03    | 2023-01-17  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  61 | f        | f      | f       | 517859/55/84 |                    |                | Active |              56
        25 | Brian Ngoma               | brian.ngoma26@example.com               | 971000025  | Male   | 1995-10-01    | 2023-04-04  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  31 | f        | f      | f       | 779961/55/26 |                    |                | Active |              56
        26 | Hannah Bwalya-Mulenga     | hannah.bwalya-mulenga25@example.com     | 971000024  | Female | 1998-10-07    | 2021-10-23  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  28 | f        | f      | f       | 271109/55/25 |                    |                | Active |              56
        27 | Roselyn Mwewa             | roselyn.mwewa62@example.com             | 971000061  | Female | 1983-10-19    | 2024-01-20  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  43 | t        | f      | f       | 461725/55/62 |                    |                | Active |              56
        28 | Beatrice Ngulube          | beatrice.ngulube17@example.com          | 971000016  | Female | 2009-02-03    | 2025-01-01  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  17 | f        | f      | f       |              | Ezekiel Phiri      | 971001016      | Active |              56
        29 | Kate Chansa               | kate.chansa23@example.com               | 971000022  | Female | 2010-05-08    | 2023-12-28  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  16 | f        | f      | f       |              | Mark Zimba         | 971001022      | Active |              56
        30 | Genevieve Chikoti         | genevieve.chikoti12@example.com         | 971000011  | Female | 2021-04-05    | 2020-07-31  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |   5 | f        | f      | f       |              | Roselyn Chibwe     | 971001011      | Active |              56
        31 | Yvonne Chama              | yvonne.chama11@example.com              | 971000010  | Female | 1947-03-22    | 2021-08-06  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  79 | f        | f      | f       | 413941/55/11 |                    |                | Active |              56
        32 | Felicity Chanda           | felicity.chanda50@example.com           | 971000049  | Female | 2013-09-10    | 2021-10-04  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  13 | f        | f      | f       |              | Nathan Chileshe    | 971001049      | Active |              56
        33 | Gabriel Tembo             | gabriel.tembo55@example.com             | 971000054  | Male   | 1967-06-23    | 2020-05-12  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  59 | f        | f      | f       | 786019/55/55 |                    |                | Active |              56
        34 | Monica Sichinga           | monica.sichinga97@example.com           | 971000096  | Female | 2008-07-02    | 2025-07-29  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  18 | f        | f      | f       | 887556/55/97 |                    |                | Active |              56
        35 | Carol Chikonde            | carol.chikonde73@example.com            | 971000072  | Female | 2024-01-18    | 2020-01-22  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |   2 | t        | f      | f       |              | Clara Mwila        | 971001072      | Active |              56
        36 | Karen Chisala             | karen.chisala68@example.com             | 971000067  | Female | 1969-11-26    | 2025-08-10  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  57 | f        | f      | f       | 586918/55/68 |                    |                | Active |              56
        37 | Kenneth Chola             | kenneth.chola78@example.com             | 971000077  | Male   | 1976-05-09    | 2025-01-02  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  50 | f        | f      | f       | 905947/55/78 |                    |                | Active |              56
        38 | Mercy Chansa              | mercy.chansa10@example.com              | 971000009  | Female | 1975-12-20    | 2025-11-04  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  51 | f        | f      | f       | 132762/55/10 |                    |                | Active |              56
        39 | Wendy Chilufya            | wendy.chilufya64@example.com            | 971000063  | Female | 1956-12-06    | 2020-02-24  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  70 | f        | f      | f       | 528451/55/64 |                    |                | Active |              56
        40 | Frank Chilongo            | frank.chilongo56@example.com            | 971000055  | Male   | 1937-12-09    | 2024-04-26  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  89 | f        | f      | f       | 764389/55/56 |                    |                | Active |              56
        41 | Josephine Kalunga         | josephine.kalunga41@example.com         | 971000040  | Female | 1996-07-16    | 2024-01-16  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  30 | f        | f      | f       | 591916/55/41 |                    |                | Active |              56
        42 | Kavita Chikuni            | kavita.chikuni93@example.com            | 971000092  | Female | 1941-06-20    | 2021-06-29  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  85 | f        | f      | f       | 310733/55/93 |                    |                | Active |              56
        43 | Angela Chikoti            | angela.chikoti100@example.com           | 971000099  | Female | 2009-08-07    | 2023-09-11  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  17 | f        | f      | f       |              | Beatrice Tembo     | 971001099      | Active |              56
        44 | Helena Ngulube            | helena.ngulube83@example.com            | 971000082  | Female | 2014-03-12    | 2022-05-11  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  12 | f        | f      | f       |              | Josephine Sikazwe  | 971001082      | Active |              56
        45 | Evelyn Mwamba             | evelyn.mwamba74@example.com             | 971000073  | Female | 1959-04-05    | 2022-09-03  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  67 | f        | f      | t       | 356079/55/74 |                    |                | Active |              56
        46 | Faith Nkoloma             | faith.nkoloma18@example.com             | 971000017  | Female | 1984-05-11    | 2020-05-06  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  42 | f        | f      | f       | 206002/55/18 |                    |                | Active |              56
        47 | Ryan Tembo                | ryan.tembo95@example.com                | 971000094  | Male   | 1995-07-22    | 2023-02-23  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  31 | f        | f      | f       | 237985/55/95 |                    |                | Active |              56
        48 | Sophia Chama-Lungu        | sophia.chama-lungu70@example.com        | 971000069  | Female | 1987-04-13    | 2023-07-17  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  39 | t        | f      | f       | 825840/55/70 |                    |                | Active |              56
        49 | Vivian Chiti              | vivian.chiti88@example.com              | 971000087  | Female | 1938-12-25    | 2024-06-23  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  88 | f        | f      | f       | 131251/55/88 |                    |                | Active |              56
        50 | Nathan Chansa             | nathan.chansa96@example.com             | 971000095  | Male   | 1971-10-25    | 2024-11-16  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  55 | f        | f      | f       | 143553/55/96 |                    |                | Active |              56
        51 | Kavita Banda              | kavita.banda15@example.com              | 971000014  | Female | 1941-05-04    | 2021-06-04  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  85 | f        | f      | f       | 348841/55/15 |                    |                | Active |              56
        52 | Angela Chinyama           | angela.chinyama80@example.com           | 971000079  | Female | 1981-03-03    | 2023-10-20  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  45 | t        | f      | f       | 502891/55/80 |                    |                | Active |              56
        53 | Josephine Chikoti         | josephine.chikoti71@example.com         | 971000070  | Female | 1994-12-09    | 2025-10-16  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  32 | t        | f      | f       | 112325/55/71 |                    |                | Active |              56
        54 | Angela Lungu              | angela.lungu76@example.com              | 971000075  | Female | 2000-08-17    | 2022-09-07  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  26 | t        | f      | f       | 690168/55/76 |                    |                | Active |              56
        55 | Nancy Muntanga            | nancy.muntanga57@example.com            | 971000056  | Female | 2018-06-21    | 2020-11-19  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |   8 | t        | t      | f       |              | Frederick Tembo    | 971001056      | Active |              56
        56 | Esther Phiri-Kabwe        | esther.phiri-kabwe8@example.com         | 971000007  | Female | 1947-03-27    | 2020-06-21  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  79 | f        | f      | f       | 769699/55/8  |                    |                | Active |              56
        57 | Stephen Tembo             | stephen.tembo67@example.com             | 971000066  | Male   | 1968-12-06    | 2021-03-24  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  58 | f        | f      | f       | 926179/55/67 |                    |                | Active |              56
        58 | Mercy Sikazwe             | mercy.sikazwe9@example.com              | 971000008  | Female | 1967-06-02    | 2020-11-14  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  59 | f        | f      | f       | 326385/55/9  |                    |                | Active |              56
        59 | Rachel Kaponda            | rachel.kaponda1@example.com             | 971000000  | Female | 1992-06-06    | 2023-02-08  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  34 | f        | f      | f       | 490818/55/1  |                    |                | Active |              56
        60 | Liam Chilongo             | liam.chilongo40@example.com             | 971000039  | Male   | 2026-09-03    | 2023-12-11  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |   0 | f        | f      | f       |              | Karen Mwila        | 971001039      | Active |              56
        61 | Harrison Sikazwe          | harrison.sikazwe85@example.com          | 971000084  | Male   | 2025-09-27    | 2023-03-03  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |   1 | t        | f      | f       |              | Olga Chanda        | 971001084      | Active |              56
        62 | Victoria Chilufya         | victoria.chilufya3@example.com          | 971000002  | Female | 1974-11-15    | 2025-08-03  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  52 | t        | f      | f       | 341338/55/3  |                    |                | Active |              56
        63 | Evelyn Chanda             | evelyn.chanda44@example.com             | 971000043  | Female | 1996-12-18    | 2024-06-16  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  30 | f        | f      | f       | 329323/55/44 |                    |                | Active |              56
        64 | Linda Ngulube             | linda.ngulube51@example.com             | 971000050  | Female | 1954-10-25    | 2022-04-11  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  72 | f        | f      | f       | 699713/55/51 |                    |                | Active |              56
        65 | Helena Mwansa             | helena.mwansa54@example.com             | 971000053  | Female | 1957-09-02    | 2022-11-17  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  69 | f        | f      | f       | 315725/55/54 |                    |                | Active |              56
        66 | Sophia Chansa             | sophia.chansa13@example.com             | 971000012  | Female | 1937-04-22    | 2023-05-28  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  89 | f        | f      | f       | 137956/55/13 |                    |                | Active |              56
        67 | Dominic Nkombo            | dominic.nkombo30@example.com            | 971000029  | Male   | 2002-04-19    | 2020-01-06  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  24 | f        | f      | f       | 739671/55/30 |                    |                | Active |              56
        68 | Irene Chikupi             | irene.chikupi4@example.com              | 971000003  | Female | 2008-02-27    | 2021-06-05  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  18 | t        | f      | f       | 462915/55/4  |                    |                | Active |              56
        69 | Faith Lundazi             | faith.lundazi94@example.com             | 971000093  | Female | 1991-11-04    | 2021-04-16  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  35 | f        | f      | f       | 478819/55/94 |                    |                | Active |              56
        70 | Linda Ngoma               | linda.ngoma43@example.com               | 971000042  | Female | 2004-05-06    | 2025-05-24  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  22 | f        | f      | f       | 718709/55/43 |                    |                | Active |              56
        71 | Carol Zulu                | carol.zulu89@example.com                | 971000088  | Female | 2023-01-24    | 2024-07-19  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |   3 | f        | f      | f       |              | George Chileshe    | 971001088      | Active |              56
        72 | Abigail Chama             | abigail.chama79@example.com             | 971000078  | Female | 1955-02-14    | 2025-05-03  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  71 | t        | f      | f       | 702272/55/79 |                    |                | Active |              56
        73 | Phillip Phiri             | phillip.phiri99@example.com             | 971000098  | Male   | 1949-07-05    | 2023-02-04  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  77 | f        | f      | f       | 878228/55/99 |                    |                | Active |              56
        74 | Karen Chiti               | karen.chiti39@example.com               | 971000038  | Female | 1942-11-06    | 2020-07-20  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  84 | f        | f      | f       | 324821/55/39 |                    |                | Active |              56
        75 | Beatrice Chileshe-Kalaba  | beatrice.chileshe-kalaba2@example.com   | 971000001  | Female | 2020-08-15    | 2022-12-14  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |   6 | f        | f      | f       |              | Helena Chanda      | 971001001      | Active |              56
        76 | Harrison Chilongo         | harrison.chilongo29@example.com         | 971000028  | Male   | 1998-06-10    | 2020-08-30  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  28 | f        | f      | f       | 243745/55/29 |                    |                | Active |              56
        77 | Frederick Mbewe           | frederick.mbewe21@example.com           | 971000020  | Male   | 1949-01-17    | 2020-02-19  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  77 | f        | f      | f       | 673022/55/21 |                    |                | Active |              56
        78 | Helena Lukwesa            | helena.lukwesa38@example.com            | 971000037  | Female | 2020-11-26    | 2023-07-12  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |   6 | f        | f      | f       |              | Wilfred Chilongo   | 971001037      | Active |              56
        79 | Anna Chola                | anna.chola20@example.com                | 971000019  | Female | 1971-07-27    | 2023-12-04  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  55 | f        | f      | f       | 315148/55/20 |                    |                | Active |              56
        80 | Yara Nkandu               | yara.nkandu14@example.com               | 971000013  | Female | 1954-04-05    | 2020-03-17  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  72 | f        | f      | f       | 837383/55/14 |                    |                | Active |              56
        81 | Clara Chiti               | clara.chiti91@example.com               | 971000090  | Female | 1940-06-19    | 2025-09-17  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  86 | f        | f      | f       | 588069/55/91 |                    |                | Active |              56
        82 | Gloria Phiri              | gloria.phiri63@example.com              | 971000062  | Female | 1972-01-10    | 2025-06-18  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  54 | f        | f      | f       | 325293/55/63 |                    |                | Active |              56
        83 | Selina Chiti              | selina.chiti5@example.com               | 971000004  | Female | 1988-12-23    | 2024-07-27  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  38 | t        | f      | f       | 378918/55/5  |                    |                | Active |              56
        84 | Chisomo Bwalya            | chisomo.bwalya16@example.com            | 971000015  | Female | 2002-11-12    | 2024-04-10  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  24 | t        | f      | f       | 783307/55/16 |                    |                | Active |              56
        85 | Patrick Chilongo          | patrick.chilongo24@example.com          | 971000023  | Male   | 1969-07-08    | 2025-10-29  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  57 | f        | f      | f       | 362506/55/24 |                    |                | Active |              56
        86 | Ryan Chikoti              | ryan.chikoti49@example.com              | 971000048  | Male   | 2024-09-10    | 2024-04-09  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |   2 | f        | f      | f       |              | Frederick Muntanga | 971001048      | Active |              56
        87 | Selina Chanda             | selina.chanda82@example.com             | 971000081  | Female | 1939-08-08    | 2024-11-17  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  87 | f        | f      | f       | 705886/55/82 |                    |                | Active |              56
        88 | Angela Mbewe              | angela.mbewe46@example.com              | 971000045  | Female | 1996-11-15    | 2022-05-22  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  30 | f        | f      | f       | 429456/55/46 |                    |                | Active |              56
        89 | Ezekiel Mbewe-Chilufya    | ezekiel.mbewe-chilufya47@example.com    | 971000046  | Male   | 1974-03-07    | 2020-12-10  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  52 | f        | f      | f       | 326389/55/47 |                    |                | Active |              56
        90 | Xander Musonda            | xander.musonda22@example.com            | 971000021  | Male   | 1998-06-12    | 2021-08-11  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  28 | f        | f      | f       | 909896/55/22 |                    |                | Active |              56
        91 | Janet Chiti               | janet.chiti45@example.com               | 971000044  | Female | 1940-06-05    | 2021-08-01  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  86 | f        | f      | f       | 417670/55/45 |                    |                | Active |              56
        92 | Karen Kabwe               | karen.kabwe75@example.com               | 971000074  | Female | 1995-07-11    | 2024-02-25  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  31 | f        | f      | f       | 189710/55/75 |                    |                | Active |              56
        93 | Winifred Chinyama         | winifred.chinyama35@example.com         | 971000034  | Female | 1967-10-24    | 2021-07-14  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  59 | f        | f      | f       | 548188/55/35 |                    |                | Active |              56
        94 | Monica Mutale             | monica.mutale69@example.com             | 971000068  | Female | 2018-07-19    | 2021-01-03  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |   8 | f        | f      | f       |              | Janet Chisala      | 971001068      | Active |              56
        95 | Davidson Chilongo         | davidson.chilongo7@example.com          | 971000006  | Male   | 2002-12-19    | 2023-05-09  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  24 | f        | f      | f       | 234967/55/7  |                    |                | Active |              56
        96 | Roselyn Kalunga           | roselyn.kalunga48@example.com           | 971000047  | Female | 1985-08-06    | 2025-08-07  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  41 | t        | f      | f       | 205609/55/48 |                    |                | Active |              56
        97 | Patience Mwewa            | patience.mwewa42@example.com            | 971000041  | Female | 1963-11-24    | 2025-07-26  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  63 | f        | f      | f       | 379656/55/42 |                    |                | Active |              56
        98 | Priscilla Lukwesa         | priscilla.lukwesa36@example.com         | 971000035  | Female | 1941-09-04    | 2020-04-28  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  85 | f        | f      | f       | 276827/55/36 |                    |                | Active |              56
        99 | Maria Tembo               | maria.tembo65@example.com               | 971000064  | Female | 2026-03-11    | 2022-07-23  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |   0 | f        | f      | f       |              | Kavita Chikoti     | 971001064      | Active |              56
       100 | Uma Mutale                | uma.mutale86@example.com                | 971000085  | Female | 1983-11-25    | 2022-01-21  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  43 | f        | f      | f       | 221501/55/86 |                    |                | Active |              56
       101 | Selina Bwalya             | selina.bwalya60@example.com             | 971000059  | Female | 1960-02-26    | 2024-12-13  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  66 | f        | f      | t       | 436360/55/60 |                    |                | Active |              56
       102 | Lawrence Mbewe            | lawrence.mbewe19@example.com            | 971000018  | Male   | 1947-03-25    | 2025-01-15  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  79 | f        | f      | f       | 384010/55/19 |                    |                | Active |              56
       103 | Chisomo Chishimba         | chisomo.chishimba32@example.com         | 971000031  | Female | 1939-04-08    | 2023-10-26  | 2026-02-27 11:21:47.295025+00 | 2026-02-27 11:21:47.295025+00 |         |  87 | f        | f      | f       | 766120/55/32 |                    |                | Active |              56
(102 rows)
